value,w_inf,scenario,species
3133859.772,14.5866243,2013,Anchoa mitchilli
1043364153,32.30627007,2013,Ammodytes dubius
1.46068E+12,201.9150057,2013,Clupea harengus
45178159440,263.023758,2013,Limanda ferruginea
2474991570,403.7767766,2013,Zoarces americanus
24494792469,807.7234859,2013,Glyptocephalus cynoglossus
1721807106,1123.037048,2013,Alosa sapidissima
1697051304,1126.362112,2013,Myoxocephalus octodecemspinosus
70222560593,1199.687406,2013,Merluccius bilinearis
24458412849,1907.207689,2013,Pseudopleuronectes americanus
20686324786,2098.697041,2013,Alosa pseudoharengus
1.09046E+11,3025.301512,2013,Melanogrammus aeglefinus
3.52229E+11,6449.565472,2013,Squalus acanthias
244426968.4,7770.918707,2013,Rostroraja eglanteria
1.14056E+11,9235.47636,2013,Paralichthys dentatus
6038641725,10058.62291,2013,Urophycis chuss
30414028828,10880.21549,2013,Urophycis tenuis
2.87784E+11,16300.42281,2013,Gadus morhua
5330333700,29384.12047,2013,Lophius americanus
7609228.246,14.5866243,rcp45,Anchoa mitchilli
1505451727,32.30627007,rcp45,Ammodytes dubius
5.34549E+11,201.9150057,rcp45,Clupea harengus
26465783602,263.023758,rcp45,Limanda ferruginea
1281355950,403.7767766,rcp45,Zoarces americanus
70544177718,807.7234859,rcp45,Glyptocephalus cynoglossus
1821621032,1123.037048,rcp45,Alosa sapidissima
854772607.1,1126.362112,rcp45,Myoxocephalus octodecemspinosus
64640098507,1199.687406,rcp45,Merluccius bilinearis
28600985708,1907.207689,rcp45,Pseudopleuronectes americanus
20601949927,2098.697041,rcp45,Alosa pseudoharengus
1.4116E+11,3025.301512,rcp45,Melanogrammus aeglefinus
37283463028,6449.565472,rcp45,Squalus acanthias
228990876.3,7770.918707,rcp45,Rostroraja eglanteria
1.51139E+11,9235.47636,rcp45,Paralichthys dentatus
4943489561,10058.62291,rcp45,Urophycis chuss
8322970891,10880.21549,rcp45,Urophycis tenuis
1.07256E+11,16300.42281,rcp45,Gadus morhua
6180068086,29384.12047,rcp45,Lophius americanus
8742252.59,14.5866243,rcp85,Anchoa mitchilli
1607395983,32.30627007,rcp85,Ammodytes dubius
5.60464E+11,201.9150057,rcp85,Clupea harengus
28574766331,263.023758,rcp85,Limanda ferruginea
2721654048,403.7767766,rcp85,Zoarces americanus
1514830724,807.7234859,rcp85,Glyptocephalus cynoglossus
1724281931,1123.037048,rcp85,Alosa sapidissima
824561045.4,1126.362112,rcp85,Myoxocephalus octodecemspinosus
73522146106,1199.687406,rcp85,Merluccius bilinearis
30568963156,1907.207689,rcp85,Pseudopleuronectes americanus
19636719668,2098.697041,rcp85,Alosa pseudoharengus
81493520733,3025.301512,rcp85,Melanogrammus aeglefinus
37414904295,6449.565472,rcp85,Squalus acanthias
324927587.2,7770.918707,rcp85,Rostroraja eglanteria
1.63004E+11,9235.47636,rcp85,Paralichthys dentatus
5455757662,10058.62291,rcp85,Urophycis chuss
3422041454,10880.21549,rcp85,Urophycis tenuis
8130387899,16300.42281,rcp85,Gadus morhua
7938645671,29384.12047,rcp85,Lophius americanus