species,w_inf,w_mat,beta,sigma,R_max,k_vb
Alosa pseudoharengus,507.463465,89.52089455,68439,3.2,500000,0.313933875
Alosa sapidissima,235.1096868,52.68779467,2548888.996,3.2,500000,0.351284981
Ammodytes dubius,32.81220696,9.604592138,398849,1.9,2.50E+11,0.353770796
Anchoa mitchilli,16.92295957,4.737778275,68439,3.2,30000000,0.586032421
Clupea harengus,217.6385295,62.427322,280540,3.2,240000000,0.492427365
Gadus morhua,17387.83048,5007.779894,85,2.1,5130000,0.219173783
Glyptocephalus cynoglossus,813.1392233,243.6769985,191,1.9,12000000,0.145214691
Limanda ferruginea,69.03035989,19.26405876,191,1.9,5800000,0.571630362
Lophius americanus,36606.15732,11387.05231,28,1.7,11700000,0.095111473
Melanogrammus aeglefinus,1380.323226,387.985196,558,2.1,3200000,0.282697439
Merluccius bilinearis,1378.296036,387.4153877,19,2.3,200000000,0.276953402
Myoxocephalus octodecemspinosus,771.3797928,227.818148,77,2,680000,0.538220571
Paralichthys dentatus,6007.830319,1631.284004,593,2.9,42000000,0.229005715
Pseudopleuronectes americanus,1851.790237,542.1457843,191,1.9,3300000,0.476180977
Rostroraja eglanteria,7547.321559,6940.066527,278,1.6,27000000,0.096684698
Squalus acanthias,6057.528624,1081.497172,185,1.9,1500,0.139886039
Urophycis chuss,4938.599852,1152.574098,193,2.2,4000000,0.148397387
Urophycis tenuis,7923.844354,2031.150238,32,3.4,4000000,0.155590571
Zoarces americanus,15156.76043,4485.662039,191,1.9,NA,0.115088351