sp,w_inf,dAbnc_rcp45,dAbnc_rcp85,dMass_rcp45,dMass_rcp85,habitat_type,range
Alosa pseudoharengus,2098.697041,-0.086419895,0.452783921,0.327038339,0.271481992,pelagic,temperate
Alosa sapidissima,1123.037048,0.146990539,0.874478403,0.282037369,0.189270094,pelagic,subtropical
Ammodytes dubius,32.30627007,0.009132767,-0.222114494,0.205677929,0.354972195,demersal,temperate
Anchoa mitchilli,14.5866243,0.897134984,1.781235465,0.128447477,-0.063996714,pelagic,subtropical
Clupea harengus,201.9150057,-0.881778788,-0.919423857,0.624632043,0.998515904,benthopelagic,temperate
Gadus morhua,16300.42281,-0.715171898,-0.991430075,0.510827629,2.231381402,benthopelagic,temperate
Glyptocephalus cynoglossus,807.7234859,5.110510355,-0.99807674,-0.163260028,3.749773214,demersal,temperate
Limanda ferruginea,263.023758,-0.417818815,-0.435613414,0.341618451,0.519903576,demersal,temperate
Lophius americanus,29384.12047,-0.118369334,-0.383933729,0.309828712,1.007804398,demersal,temperate
Melanogrammus aeglefinus,3025.301512,-0.199162957,-0.650679504,0.572622468,0.956544492,demersal,temperate
Merluccius bilinearis,1199.687406,-0.177341632,-0.703021819,0.155115758,0.859679759,demersal,temperate
Myoxocephalus octodecemspinosus,1126.362112,-0.613638399,-0.89520223,0.471445164,2.078081511,demersal,temperate
Paralichthys dentatus,9235.47636,0.24079044,0.5063242,0.185132111,0.153429784,demersal,temperate
Pseudopleuronectes americanus,1907.207689,-0.573516691,-0.706588071,0.772500006,1.343318054,demersal,temperate
Rostroraja eglanteria,7770.918707,0.042839404,0.900681201,-0.110639339,-0.24674714,demersal,subtropical
Squalus acanthias,6449.565472,-0.9881234,-0.994089219,1.127912384,1.985762786,benthopelagic,temperate
Urophycis chuss,10058.62291,0.148039393,-0.157742137,0.1815712,0.57717201,demersal,temperate
Urophycis tenuis,10880.21549,-0.852453133,-0.96703365,1.243132391,2.524096148,demersal,temperate
Zoarces americanus,403.7767766,-0.996059658,-0.998538097,2.521375012,5.797981579,demersal,temperate